Wind_power_MW,Solar_power_kW,Consumption_MW
131.3110313,1307.9808,45.72
146.4290776,1230.336,46.50
135.6304731,988.5696,44.20
124.8318686,741.2736,41.36
113.6013198,224.4864,42.09
101.0749386,0,43.02
88.98050146,0,43.12
76.45412019,0,50.07
82.93328292,0,48.65
89.41244564,0,44.93
95.89160837,0,45.18
97.6193851,0,38.28
99.34716183,0,34.36
101.0749386,0,33.92
107.5541013,0,30.54
114.033264,0,31.18
120.5124267,0,31.42
120.9443709,0,31.28
121.8082593,0,34.95
122.6721476,261.2736,42.68
111.0096547,679.8336,47.18
99.77910601,1057.6128,47.18
88.1166131,1311.4368,45.32
113.1693756,1431.2448,43.61
137.790194,1365.5808,42.19
162.8429566,1295.232,40.53
153.3401846,1142.7072,42.29
144.2693567,800.7936,40.67
135.1985289,192.9216,41.36
133.9026964,0,41.36
133.038808,0,43.71
131.7429755,0,47.72
128.7193662,0,45.81
126.1277011,0,46.60
123.536036,0,45.57
125.2638127,0,39.84
126.9915895,0,34.80
128.7193662,0,33.33
130.4471429,0,30.84
132.1749196,0,31.96
133.9026964,0,30.35
139.0860266,0,30.54
143.8374126,0,32.99
149.0207427,321.792,41.70
113.1693756,899.6352,45.03
77.31800855,1109.6832,45.37
41.89858564,1451.2128,44.79
32.39581364,1598.208,44.74
22.89304164,1633.6128,44.59
13.82221382,1439.6928,45.03
25.91665091,1200.6912,40.82
38.44303218,845.4912,39.79
50.53746928,244.3776,40.04
66.08745982,0,42.24
81.20550619,0,42.63
